2022000018	100018	小胡	123456	7	0	
2022000016	100016	小陈	123456	4	1	
2022000010	100010	小孙	123456	10	3	
2022000005	100005	小罗	123	3	3	
2022000004	100004	小殷	123456	5	0	
2022000003	100003	小段	123456	3	0	
2022000002	100002	小李	123456	10	5	
2022000001	100001	小杨	123456	3	2	
2022000007	100007	小曾	123456	0	0	
2022000008	100008	小郑	123456	0	0	
2022000009	100009	小周	123456	0	0	
2022000015	100015	小刘	123456	0	0	
2022000017	100017	小张	123456	0	0	
2022000019	100019	小谢	123456	0	0	
2022000020	100020	小钱	123456	0	0	
2022000021	100021	小赵	123456	0	0	
2022000022	100022	小王	123456	0	0	
2022000025	100025	小汪	123456	0	0	
